Sigla	Codigo	Município	2010	2012	2014	2016	2018
BA	2903805	Boa Vista do Tupim	9381	10851	9603	10956	9905
BA	2903904	Bom Jesus da Lapa	30102	33458	32476	34850	33497
BA	2903953	Bom Jesus da Serra	5412	6439	5745	7077	6139
BA	2904001	Boninal	6313	7537	6779	8119	7319
BA	2904050	Bonito	7739	9042	8312	10082	9232
BA	2904100	Boquira	10657	12222	10788	12826	11364
BA	2904209	Botuporã	6079	7706	6572	8365	6730
BA	2904308	Brejões	7920	8822	7607	8355	7554
BA	2904407	Brejolândia	5604	7151	5719	7454	5558
BA	2904506	Brotas de Macaúbas	6401	7379	6532	7619	6603
BA	2904605	Brumado	35660	38851	37975	40123	41459
BA	2904704	Buerarema	10146	10944	9217	9908	9253
BA	2904753	Buritirama	9615	11474	10132	11571	10755
BA	2904803	Caatiba	4745	5929	5057	6294	5234
BA	2904852	Cabaceiras do Paraguaçu	8955	10537	8477	9791	9613
BA	2904902	Cachoeira	18413	20145	19431	20880	19605
BA	2905008	Caculé	11561	13456	12505	13712	13028
BA	2905107	Caém	6276	6398	5817	6928	5831
BA	2905156	Caetanos	5625	7313	6083	8103	6985
BA	2905206	Caetité	26605	31102	29664	33279	31172
BA	2905305	Cafarnaum	8637	10044	9167	10971	10134
BA	2905404	Cairu	7530	10645	9403	11738	10392
BA	2905503	Caldeirão Grande	5549	7160	6278	7750	7156
BA	2905602	Camacan	13579	14033	12801	13938	12812
BA	2905701	Camaçari	113476	124617	125829	135048	143258
BA	2905800	Camamu	16145	18406	16614	18572	16685
BA	2905909	Campo Alegre de Lourdes	13400	15928	15081	17206	15293
BA	2906006	Campo Formoso	35314	39091	38943	43270	41463
BA	2906105	Canápolis	5744	6834	6035	7297	6212
BA	2906204	Canarana	12361	13974	13051	15139	14210
BA	2906303	Canavieiras	17028	17940	15821	17765	17167
BA	2906402	Candeal	5390	6226	5705	6564	5976
BA	2906501	Candeias	45713	49933	47860	52890	51401
BA	2906600	Candiba	7893	9123	8333	9398	8710
BA	2906709	Cândido Sales	13878	16187	12840	14786	13885
BA	2906808	Cansanção	17046	19965	18260	21161	19549
BA	2906824	Canudos	8417	9757	8738	10178	9167
BA	2906857	Capela do Alto Alegre	6790	7881	6746	7836	6837
BA	2906873	Capim Grosso	14714	16771	15564	18200	16954
BA	2906899	Caraíbas	5480	6759	5789	6909	6023
BA	2906907	Caravelas	9700	11501	10463	11791	10234
